url,accessible,status
http://www.definitions.net/definition/tabloid,FALSE,legitimate
https://www.cigarety-el.cz/,TRUE,legitimate
http://www.masscool.com/massmedia/softloads2/planet-waves-patch-cable-kit.html,FALSE,legitimate
http://wwp-cartasi-titoari-portale-sicreuzza-2017.dynamic-dns.net/gtwpage1e10/index-jsp.html,FALSE,phishing
https://login-offlce365-0utl00k.nn.r.appspot.com/c:/users/user/downloads,FALSE,phishing
http://justlookapp.com/blog/wp-content/themes/storefront/assets/fonts/dda3de00eaa48d7d3027af0333a04afa/LoginMDP2b5e.html,FALSE,phishing
http://www.pastimenangqq101.com/wp-content/uploads/4,FALSE,phishing
https://giveawayradar.weebly.com/,TRUE,legitimate
http://forums.androidcentral.com/chromebooks/699557-file-manager-chromebook.html,TRUE,legitimate
http://lonestarsanitation.com/wp-includes/SimplePie/Cache/zamalik/dafa/myaccount/update_billing,FALSE,phishing
https://www.computerhope.com/issues/ch001350.htm,TRUE,legitimate
http://smard.com.tr/wp-content/plugins/wp-statistics/session-acces-email/webmail-login-mycas-session-cookie/kunde-ionos-session-cookie/EMAILVARIFICATION.php?email=info@wendt-mobile.de,FALSE,phishing
https://openmodelica.org/,TRUE,legitimate
https://xiu7puzb-bwvyqzx21.vercel.app/,FALSE,phishing
http://www.iboard.co.uk/iwb/Number-Balloons-572,TRUE,legitimate
https://aruba-di.blogspot.com/?m=1,TRUE,phishing
http://amazing-swartz-d31e02.netlify.app/,FALSE,phishing
http://86.d74t.df8tj.rtr.et4.4656.5.t65.5.7686.ytryr.clearpointsupplies.com/86.d74t.df8tj.rtr.et4.4656.5.t65.5.7686.ytryr/,TRUE,phishing
http://www.dedalesdeana.com/img/,FALSE,phishing
https://www.listia.com/list,TRUE,legitimate
http://www.tvguide.com/tvshows/dynasty/cast/201073/,TRUE,legitimate
http://mailsfuca.moonfruit.com/,FALSE,phishing
http://albel.intnet.mu/File/file_doc.php?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID,FALSE,phishing
http://www.flashcardmachine.com/ap-gov-chapter11.html,TRUE,legitimate
https://drive.google.com/file/d/1rngxZ2sujNVYSoKmCvjpUZyljRdSeTVc/view?usp=sharing_eil&ts=5e457ab9,FALSE,phishing
