url,accessible,status
http://www.crestonwood.com/router.php,TRUE,legitimate
http://shadetreetechnology.com/V4/validation/a111aedc8ae390eabcfa130e041a10a4,TRUE,phishing
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/89e6a3b4b063b8d/?cmd=_update&dispatch=89e6a3b4b063b8d1b&locale=_,FALSE,phishing
http://rgipt.ac.in,TRUE,legitimate
http://www.iracing.com/tracks/gateway-motorsports-park/,FALSE,legitimate
http://appleid.apple.com-app.es/,FALSE,phishing
http://www.mutuo.it,TRUE,legitimate
http://www.shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531,TRUE,phishing
http://vamoaestudiarmedicina.blogspot.com/,TRUE,legitimate
https://parade.com/425836/joshwigler/the-amazing-race-host-phil-keoghan-previews-the-season-27-premiere/,FALSE,legitimate
https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp,TRUE,legitimate
https://www.lifewire.com/tcp-port-21-818146,TRUE,legitimate
https://technofizi.net/top-best-mp3-downloader-app-for-android-free-music-download/,TRUE,legitimate
http://html.house/l7ceeid6.html,TRUE,phishing
https://www.missfiga.com/,TRUE,legitimate
http://wave.progressfilm.co.uk/time3/?logon=myposte,TRUE,phishing
https://www.chiefarchitect.com/,TRUE,legitimate
http://beta.kenaidanceta.com/postamok/d39a2/source,FALSE,phishing
http://www.ktplasmachinery.com/cs/,TRUE,phishing
http://www.2345daohang.com/,TRUE,legitimate
http://www.game.co.uk/en/games/nintendo-switch/nintendo-switch/,TRUE,legitimate
https://blog.hubspot.com/marketing/email-open-click-rate-benchmark,TRUE,legitimate
http://batvrms.net/deliver/D2017HL/u.php,FALSE,phishing
http://sophie-world.com/games/port-and-starboard,TRUE,legitimate
http://support-appleld.com.secureupdate.duilawyeryork.com/ap/bb14d7ff1fcbf29?cmd=_update&dispatch=bb14d7ff1fcbf29bb&locale=_us,FALSE,phishing
https://polarklimatsgserver.blogspot.com/,TRUE,phishing
https://www.provenancevineyards.com/,TRUE,legitimate
http://www.online-tech-tips.com/computer-tips/how-to-change-mac-address/,TRUE,legitimate
http://secureupdate.appleld.com.duilawyeryork.com/ap/88b142e778d73f7,FALSE,phishing
http://www.inbioma.pe/rechnung-376440790464490488&amp;cgi3-viewkontakt-376440790464490488-007acctpagetype-376440790464490488=4674720-&amp;info@s-und-s-shop.de.html,FALSE,phishing
http://www.enkiquotes.com/,TRUE,legitimate
